,Rang,Page,Vues totales,Vues par jour,Évol. rang
142,143,Décès en 2023,102 625,3 310,
143,144,Algérie,100 638,3 246,
144,145,Coupe d'Afrique des nations de football 2023,99 938,3 224,
145,146,Ukraine,99 459,3 208,
146,147,Groupe Wagner,99 107,3 197,
147,148,Andrew Tate,98 994,3 193,
148,149,Charles III (roi du Royaume-Uni),98 992,3 193,
149,150,Marina Foïs,98 723,3 185,
150,151,Seconde Guerre mondiale,98 716,3 184,
151,152,Nouvel An chinois,98 563,3 179,
152,153,Royaume-Uni,98 562,3 179,
153,154,"À couteaux tirés (film, 2019)",98 425,3 175,
154,155,Maroc,97 860,3 157,
155,156,Chandeleur,97 508,3 145,
156,157,Arte,97 363,3 141,
157,158,Homme au masque de fer,97 287,3 138,
158,159,Ligue des champions de l'UEFA,96 773,3 122,
159,160,Californie,96 487,3 112,
160,161,Leonardo DiCaprio,96 248,3 105,
161,162,Adriana Karembeu,94 813,3 058,
162,163,Rois mages,94 610,3 052,
163,164,Vincent Cassel,94 521,3 049,
164,165,The Walking Dead (série télévisée),94 462,3 047,
165,166,Christian Bale,94 260,3 041,
166,167,LVMH - Moët Hennessy Louis Vuitton,94 182,3 038,
167,168,Michael Jackson,93 531,3 017,
168,169,Canada,92 623,2 988,
169,170,Olivier Dussopt,92 216,2 975,
170,171,Singapour,91 893,2 964,
171,172,XXXX (marque de bières australiennes),91 806,2 961,
172,173,Emily in Paris,91 642,2 956,
173,174,Département français,91 513,2 952,
174,175,Rafael Nadal,91 443,2 950,
175,176,Jean-Pierre Bacri,91 417,2 949,
176,177,Liste des épisodes de One Piece,91 416,2 949,
177,178,Calais,91 195,2 942,
178,179,LeBron James,90 520,2 920,
179,180,Max Baissette de Malglaive,90 441,2 917,
180,181,Championnat d'Afrique des nations de football 2022,90 281,2 912,
181,182,Accueil,90 210,2 910,
182,183,Camille Lellouche,90 192,2 909,
183,184,Bella Ramsey,90 136,2 908,
184,185,Le Caravage,89 955,2 902,
185,186,Armand Jean du Plessis de Richelieu,89 564,2 889,
186,187,Real Madrid Club de Fútbol,89 562,2 889,
187,188,Liste des milliardaires du monde,89 517,2 888,
188,189,Liste des meilleurs marqueurs en NBA en carrière,89 408,2 884,
189,190,Diana Spencer,89 197,2 877,
190,191,Charles de Gaulle,88 890,2 867,
191,192,Gmail,88 717,2 862,
192,193,Pedro Pascal,88 430,2 853,
193,194,Amy Winehouse,88 228,2 846,
194,195,Martin Luther King,88 179,2 844,
195,196,Michel Sardou,87 835,2 833,
196,197,Victor Wembanyama,87 559,2 824,
197,198,Balthazar (série télévisée),87 222,2 814,
198,199,Val Kilmer,86 928,2 804,
199,200,Louis XVI,86 894,2 803,
200,201,Nouvel An lunaire,86 543,2 792,
201,202,Ramzy Bedia,86 405,2 787,
202,203,Nelson Mandela,86 166,2 780,
203,204,Pierre Lemaitre,86 017,2 775,
204,205,Chimène Badi,85 939,2 772,
205,206,Coupe du monde de football 2022,85 802,2 768,
206,207,Île Maurice,84 367,2 722,
207,208,Liste des papes,84 345,2 721,
208,209,The Pledge,84 252,2 718,
209,210,Napoléon III,84 246,2 718,
210,211,Cyril Hanouna,83 872,2 706,
211,212,Arsenal Football Club,83 684,2 699,
212,213,Liste des pays du monde,83 232,2 685,
213,214,Alexandre Litvinenko,83 092,2 680,
214,215,Marcel Zanini,82 973,2 677,
215,216,Pierre de Maere,82 967,2 676,
216,217,Marilyn Monroe,82 793,2 671,
217,218,The White Lotus,82 301,2 655,
218,219,Allemagne,82 152,2 650,
219,220,Tatjana Patitz,82 147,2 650,
220,221,Coupe du monde de football,81 806,2 639,
221,222,FV4034 Challenger 2,81 493,2 629,
222,223,FC Barcelone (football),81 241,2 621,
223,224,Louis Garrel,80 776,2 606,
224,225,"Invisible Man (film, 2020)",80 608,2 600,
225,226,Astérix et Obélix (série de films),80 424,2 594,
226,227,Gabriel Attal,80 305,2 590,
227,228,Vlad III l'Empaleur,80 069,2 583,
228,229,Charlie Chaplin,80 045,2 582,
229,230,Pape,80 030,2 582,
230,231,France Télévisions,79 768,2 573,
231,232,Suisse,79 024,2 549,
232,233,Hakim Ziyech,78 957,2 547,
233,234,Greta Thunberg,78 809,2 542,
234,235,Éric Judor,78 682,2 538,
235,236,Sœur André,78 487,2 532,
236,237,Carlos Gardel,78 387,2 529,
237,238,Tour Eiffel,77 822,2 510,
238,239,Gareth Bale,77 704,2 507,
